-------------------------------OSpider ---------------------------------------
于 2019-12-29 16:03:54 爬取指定范围内的： 星巴克
区域左下坐标：113.705304,29.974252
区域右上坐标：115.089744,31.366201
选择的基础网格切分方式：1*1网格
使用的KEY：mgRIjArNHuol074XjsyDPQMu7g22hEjZ
抓取耗时：6.75s
KEY用量：7
POI总量108
-------------------------------results----------------------------------------
id	name	address	province	city	area	wgs84_lng	wgs84_lat	bd09_lng	bd09_lat
1	星巴克(摩尔城店)	武汉市 龙阳大道特6号 武汉摩尔城F1层L1-B0311				114.20291777205917	30.561655263638677	114.214888	30.565177
2	星巴克(佰港城店)	武汉市 丁字桥南路525号 维佳体验城1层				114.32060613606788	30.504552228106323	114.332611	30.508085
3	星巴克(光谷天地店)	武汉市 关山大道519号 光谷天地一楼				114.40478953172736	30.478682272247347	114.416897	30.482065
4	星巴克(大润发店)	武汉市 江汉路257号 大润发超市1楼				114.27980222299287	30.587857263714973	114.291776	30.591165
5	星巴克(司门口店)	武汉市 解放路375号 潮流百货1层				114.29321728936405	30.54400479235187	114.305239	30.547223
6	星巴克(万达中心店)	武汉市 临江大道96号 武汉万达中心写字楼一层				114.30261281423591	30.566688896894455	114.314624	30.569956
7	星巴克(武汉1911店)	武汉市江汉区新华路589号大武汉1911项目C栋一层				114.25761105207266	30.61703465321886	114.269507	30.62071
8	星巴克(保利广场店)	武汉市中南路99号武汉保利广场一层				114.33015148743272	30.54609283315054	114.342109	30.54982
9	星巴克(创意天地店)	武汉市 洪山街野芷湖西路16号 武汉创意天地1期C-1栋1-3层1室,2室				114.31838272850611	30.473343326071692	114.330365	30.476817
10	星巴克(世纪都会广场1店)	 武汉市江汉区京汉大道与江汉路交汇处世纪都会广场一层				114.28139830424585	30.5858685004108	114.293377	30.589158
11	星巴克(洪福添美店)	武汉市 雄楚大街938号 洪福添美城市广场1层				114.39311347475063	30.499823457236044	114.405209	30.503368
12	星巴克(保利时代店)	武汉市洪山区关山大道332号保利时代广场C栋商业裙楼一层				114.40519707850304	30.49365196681036	114.417321	30.497039
13	星巴克(宜家1店)	武汉市硚口区长宜路1号长宜路1号宜家购物中心6-11-03-SU单元				114.1623578880004	30.619337401159267	114.174541	30.622711
14	星巴克(宝利金店)	武汉市 花楼街198号 1楼				114.28741520406503	30.58056244336354	114.299411	30.583803
15	星巴克(长城汇店)	武汉市武昌区中北路9号长城汇1层				114.33289356871781	30.552205374406995	114.344838	30.555984
16	星巴克(百瑞景店)	武汉市武昌区武珞路586号百瑞景商业5号楼1层				114.32900714427443	30.523461569805153	114.340986	30.527165
17	星巴克(天纵城店)	武汉市 巨龙大道1号 天纵城广场1层				114.29845100216959	30.697617356035884	114.310474	30.700909
18	星巴克(昙华林店)	武汉市 昙华林路202号 南国昙花林A1一层1-1及1-2单元				114.3110823390072	30.55450606047934	114.323088	30.557877
19	星巴克(首义汇店)	武汉市 张之洞路151号 泛悦汇1层85-88室				114.2988208688917	30.537007932357856	114.310854	30.540243
20	星巴克(东湖国贸店)	武汉市 欢乐大道1号 东湖MOMA城A栋一层1-A-04单元				114.35614026961514	30.580678510576966	114.36806	30.584702
21	星巴克(鲁巷广场店)	武汉市 珞瑜路726号 鲁巷广场购物中心一楼				114.39110825553074	30.50896295248039	114.4032	30.512544
22	星巴克(五环天地店)	武汉市 卓刀泉271号 五环天地一层2-1-A01				114.37455312463685	30.50881018655183	114.386565	30.51267
23	星巴克(水岸国际店)	武汉市 和平大道730号 村福星惠誉水岸国际三号楼一层				114.31877966372512	30.576959471314183	114.33076	30.580471
24	星巴克(民众乐园店)	武汉市 中山大道608号 新民众乐园F1层01-12				114.28222316235205	30.578882087862524	114.294201	30.58216
